AddressLine1,AddressLine2,Reseller City,ResellerID,ResellerSort,AccountNumber,Reseller Name,State or Province,Reseller Country,CountrySort,Reseller Contact,Reseller Address,Post Code,Reseller Email
254075 Biscayne Blvd.,,North Miami Beach,29721,333,AW00029721,Bike Goods,Florida,United States,1,Gary Drury,"254075 Biscayne Blvd., North Miami Beach, Florida, 33162, United States",33162,
Connecticut Post Mall,,Milford,29724,60,AW00029724,Lease-a-Bike Shop,Connecticut,United States,1,Bernard Duerr,"Connecticut Post Mall, Milford, Connecticut, 06460, United States",06460,
Indian Mound Mall,,Heath,29726,572,AW00029726,Active Cycling,Ohio,United States,1,Adrian Dumitrascu,"Indian Mound Mall, Heath, Ohio, 43056, United States",43056,
99295 S.e. Tualatin Valley_hwy.,,Hillsboro,29727,159,AW00029727,Stock Parts and Supplies,Oregon,United States,1,Bart Duncan,"99295 S.e. Tualatin Valley_hwy., Hillsboro, Oregon, 97123, United States",97123,
2564 S. Redwood Rd.,,Riverton,29728,573,AW00029728,Roadway Supplies,Utah,United States,1,Maciej Dusza,"2564 S. Redwood Rd., Riverton, Utah, 84065, United States",84065,
6333 Cloverleaf Parkway,,Kannapolis,29729,617,AW00029729,Sensational Discount Store,North Carolina,United States,1,Shelley Dyck,"6333 Cloverleaf Parkway, Kannapolis, North Carolina, 28081, United States",28081,
Washington Square Ii,,Indianapolis,29731,310,AW00029731,Super Sports Store,Indiana,United States,1,Carla Eldridge,"Washington Square Ii, Indianapolis, Indiana, 46204, United States",46204,
25220 Airline Road,,Corpus Christi,29732,107,AW00029732,Satin Finish Company,Texas,United States,1,Carol Elliott,"25220 Airline Road, Corpus Christi, Texas, 78404, United States",78404,
Factory Stores/tucson,,Tucson,29733,586,AW00029733,Regional Manufacturing,Arizona,United States,1,Shannon Elliott,"Factory Stores/tucson, Tucson, Arizona, 85701, United States",85701,
Medford,,Medford,29737,182,AW00029737,Roadway Bike Emporium,Oregon,United States,1,John Emory,"Medford, Medford, Oregon, 97504, United States",97504,
44025 W. Empire,,Denby,29738,152,AW00029738,Sleek Bikes,South Dakota,United States,1,Gail Erickson,"44025 W. Empire, Denby, South Dakota, 57716, United States",57716,
Factory Stores Of America,,Mesa,29739,224,AW00029739,Retail Sporting Equipment,Arizona,United States,1,Mark Erickson,"Factory Stores Of America, Mesa, Arizona, 85201, United States",85201,
Lewis County Mall,,Chehalis,29742,200,AW00029742,Vast Bike Sales and Rental,Washington,United States,1,Twanna Evans,"Lewis County Mall, Chehalis, Washington, 98532, United States",98532,
Ring Plaza,,Norridge,29743,556,AW00029743,Summer Sports Place,Illinois,United States,1,Ann Evans,"Ring Plaza, Norridge, Illinois, 60706, United States",60706,
7709 West Virginia Avenue,,Phoenix,29744,56,AW00029744,Real Sporting Goods,Arizona,United States,1,John Evans,"7709 West Virginia Avenue, Phoenix, Arizona, 85004, United States",85004,
Cherry Grove Plaza,,Cincinnati,29746,155,AW00029746,Bicycle Outfitters,Ohio,United States,1,Fadi Fakhouri,"Cherry Grove Plaza, Cincinnati, Ohio, 45202, United States",45202,
3250 South Meridian,,Puyallup,29747,391,AW00029747,The Bike Shop,Washington,United States,1,Carolyn Farino,"3250 South Meridian, Puyallup, Washington, 98371, United States",98371,
49925 Crestview Drive N.E.,,Rio Rancho,29748,206,AW00029748,Safe Toys,New Mexico,United States,1,Geri Farrell,"49925 Crestview Drive N.E., Rio Rancho, New Mexico, 87124, United States",87124,
Savannah Festival Outlet,,Savannah,29749,202,AW00029749,Qualified Sales and Repair Services,Georgia,United States,1,Hanying Feng,"Savannah Festival Outlet, Savannah, Georgia, 31401, United States",31401,
Spring Meadows Place,,Holland,29752,547,AW00029752,Expert Sports Store,Ohio,United States,1,James Fine,"Spring Meadows Place, Holland, Ohio, 43528, United States",43528,
705 SE Mall Parkway,,Everett,29753,464,AW00029753,Coho Sports,Washington,United States,1,Kathie Flood,"705 SE Mall Parkway, Everett, Washington, 98201, United States",98201,
Market Square Shopping Center,,Lakeland,29756,463,AW00029756,Tough and Reliable Parts,Florida,United States,1,Jeffrey Ford,"Market Square Shopping Center, Lakeland, Florida, 33801, United States",33801,
3250 Baldwin Park Blvd,,Baldwin Park,29757,302,AW00029757,Basic Sports Equipment,California,United States,1,Garth Fort,"3250 Baldwin Park Blvd, Baldwin Park, California, 91706, United States",91706,
Lakeline Mall,,Cedar Park,29758,524,AW00029758,Cash & Carry Bikes,Texas,United States,1,Dorothy Fox,"Lakeline Mall, Cedar Park, Texas, 78613, United States",78613,
Tree Plaza,,Braintree,29759,345,AW00029759,Convenient Bike Shop,Massachusetts,United States,1,Judith Frazier,"Tree Plaza, Braintree, Massachusetts, 02184, United States",02184,
University Plaza,,Tampa,29762,354,AW00029762,Quitting Business Distributors,Florida,United States,1,Liam Friedland,"University Plaza, Tampa, Florida, 33602, United States",33602,
Bayshore Mall,,Eureka,29763,629,AW00029763,Retail Cycle Shop,California,United States,1,Mihail Frintu,"Bayshore Mall, Eureka, California, 95501, United States",95501,
23025 S.W. Military Rd.,,San Antonio,29764,457,AW00029764,Social Activities Club,Texas,United States,1,John Ford,"23025 S.W. Military Rd., San Antonio, Texas, 78204, United States",78204,
Horizon Outlet Center,,Monroe,29765,526,AW00029765,Blue Bicycle Company,Michigan,United States,1,Paul Fulton,"Horizon Outlet Center, Monroe, Michigan, 98272, United States",98272,
West Georgia Commons,,La Grange,29767,634,AW00029767,Parts Shop,Georgia,United States,1,Aldeen Gallagher,"West Georgia Commons, La Grange, Georgia, 30240, United States",30240,
West Park Plaza,,Irvine,29768,611,AW00029768,Riding Excursions,California,United States,1,Michael Galos,"West Park Plaza, Irvine, California, 92614, United States",92614,
3900 S. 997th St.,,Milwaukee,29769,272,AW00029769,Unique Bikes,Wisconsin,United States,1,Jon Ganio,"3900 S. 997th St., Milwaukee, Wisconsin, 53202, United States",53202,
5420 West 22500 South,,Salt Lake City,29771,471,AW00029771,Associated Bikes,Utah,United States,1,Dominic Gash,"5420 West 22500 South, Salt Lake City, Utah, 84101, United States",84101,
2251 Elliot Avenue,,Seattle,29773,265,AW00029773,A Bike Store,Washington,United States,1,Orlando Gee,"2251 Elliot Avenue, Seattle, Washington, 98104, United States",98104,
509 Nafta Boulevard,,Laredo,29774,160,AW00029774,Journey Sporting Goods,Texas,United States,1,Darren Gehring,"509 Nafta Boulevard, Laredo, Texas, 78040, United States",78040,
35525-9th Street Sw,,Puyallup,29775,470,AW00029775,Two Bike Shops,Washington,United States,1,Jim Geist,"35525-9th Street Sw, Puyallup, Washington, 98371, United States",98371,
Vista Marketplace,,Alhambra,29781,353,AW00029781,The Bicycle Accessories Company,California,United States,1,Guy Gilbert,"Vista Marketplace, Alhambra, California, 91801, United States",91801,
9995 West Central Entrance,,Duluth,29782,607,AW00029782,Active Systems,Minnesota,United States,1,Janet Gilliat,"9995 West Central Entrance, Duluth, Minnesota, 55802, United States",55802,
5525 South Hover Road,,Longmont,29783,88,AW00029783,Futuristic Sport Distributors,Colorado,United States,1,Mary Gimmi,"5525 South Hover Road, Longmont, Colorado, 80501, United States",80501,
9909 W. Ventura Boulevard,,Camarillo,29784,268,AW00029784,Big-Time Bike Store,California,United States,1,Jeanie Glenn,"9909 W. Ventura Boulevard, Camarillo, California, 93010, United States",93010,
2583 Se 272nd St,,Kent,29787,180,AW00029787,Year-Round Sports,Washington,United States,1,Scott Gode,"2583 Se 272nd St, Kent, Washington, 98031, United States",98031,
Hanford Mall,,Hanford,29788,502,AW00029788,The New Bike Store,California,United States,1,Mete Goktepe,"Hanford Mall, Hanford, California, 93230, United States",93230,
250 E. County Line Rd.,,Indianapolis,29791,304,AW00029791,Leather and Vinyl Manufacturing,Indiana,United States,1,Linda Gonzales,"250 E. County Line Rd., Indianapolis, Indiana, 46204, United States",46204,
99450 Highway 59 North,,Humble,29792,92,AW00029792,Genial Bike Associates,Texas,United States,1,Abigail Gonzalez,"99450 Highway 59 North, Humble, Texas, 77338, United States",77338,
9700 Sisk Road,,Modesto,29793,115,AW00029793,Commercial Sporting Goods,California,United States,1,Michael Graff,"9700 Sisk Road, Modesto, California, 95354, United States",95354,
Po Box 08050,,Nashville,29798,284,AW00029798,Manufacturers Inc,Tennessee,United States,1,Geoff Grisso,"Po Box 08050, Nashville, Tennessee, 37203, United States",37203,
70259 West Sunnyview Ave,,Visalia,29799,325,AW00029799,Locks Company,California,United States,1,Douglas Groncki,"70259 West Sunnyview Ave, Visalia, California, 93291, United States",93291,
Gateway,,Portland,29800,404,AW00029800,Latest Accessories Sales,Oregon,United States,1,Brian Groth,"Gateway, Portland, Oregon, 97205, United States",97205,
99 Edgewater Drive,,Norwood,29801,370,AW00029801,Incomparable Bicycle Store,Massachusetts,United States,1,Faith Gustafson,"99 Edgewater Drive, Norwood, Massachusetts, 02062, United States",02062,
2525 Electrics Blvd.,,Huntsville,29804,394,AW00029804,Games and Sport Supply Company,Alabama,United States,1,Matthew Hagemann,"2525 Electrics Blvd., Huntsville, Alabama, 35801, United States",35801,
25001 Montague Expressway,,Milpitas,29805,297,AW00029805,Distant Inn,California,United States,1,Erin Hagens,"25001 Montague Expressway, Milpitas, California, 95035, United States",95035,
640 South 994th St. W.,,Billings,29806,451,AW00029806,Finer Mart,Montana,United States,1,Betty Haines,"640 South 994th St. W., Billings, Montana, 59101, United States",59101,
1 Corporate Center Drive,,Miami,29808,434,AW00029808,Stylish Department Stores,Florida,United States,1,James Hamilton,"1 Corporate Center Drive, Miami, Florida, 33127, United States",33127,
60025 Bollinger Canyon Road,,San Ramon,29809,250,AW00029809,Bike World,California,United States,1,Kerim Hanif,"60025 Bollinger Canyon Road, San Ramon, California, 94583, United States",94583,
259826 Russell Rd. South,,Kent,29810,230,AW00029810,Central Discount Store,Washington,United States,1,Jean Handley,"259826 Russell Rd. South, Kent, Washington, 98031, United States",98031,
9920 Picketts Line Road,,Newport News,29811,176,AW00029811,Trusted Catalog Store,Virginia,United States,1,Mark Hanson,"9920 Picketts Line Road, Newport News, Virginia, 23607, United States",23607,
79945 Corporate Center Drive,,Miami,29814,376,AW00029814,Exemplary Cycles,Florida,United States,1,Kimberly Harrington,"79945 Corporate Center Drive, Miami, Florida, 33127, United States",33127,
482505 Warm Springs Blvd.,,Fremont,29815,263,AW00029815,Metropolitan Sports Supply,California,United States,1,Lucy Harrington,"482505 Warm Springs Blvd., Fremont, California, 94536, United States",94536,
3207 S Grady Way,,Renton,29816,367,AW00029816,Progressive Sports,Washington,United States,1,Keith Harris,"3207 S Grady Way, Renton, Washington, 98055, United States",98055,
8520 University City Blvd,,Charlotte,29817,216,AW00029817,Underglaze and Finish Company,North Carolina,United States,1,Doris Hartwig,"8520 University City Blvd, Charlotte, North Carolina, 28202, United States",28202,
9927 N. Main St.,,Tooele,29818,1,AW00029818,Brakes and Gears,Utah,United States,1,Roger Harui,"9927 N. Main St., Tooele, Utah, 84074, United States",84074,
Medford Outlet Center,,Medford,29819,532,AW00029819,The Accessories Store,Minnesota,United States,1,Ann Hass,"Medford Outlet Center, Medford, Minnesota, 55049, United States",55049,
Amity Plaza,,New Haven,29820,234,AW00029820,Mountain Bike Store,Connecticut,United States,1,Mark Hassall,"Amity Plaza, New Haven, Connecticut, 06510, United States",06510,
42525 Austell Road,,Austell,29825,47,AW00029825,Better Bike Shop,Georgia,United States,1,James Hendergart,"42525 Austell Road, Austell, Georgia, 30106, United States",30106,
825 W 500 S,,Bountiful,29826,483,AW00029826,Countryside Company,Utah,United States,1,John Hanson,"825 W 500 S, Bountiful, Utah, 84010, United States",84010,
Kansas City Factory Outlet,,Odessa,29827,12,AW00029827,First Bike Store,Missouri,United States,1,Valerie Hendricks,"Kansas City Factory Outlet, Odessa, Missouri, 64076, United States",64076,
Green Acres Mall,,Valley Stream,29828,169,AW00029828,Traditional Department Stores,New York,United States,1,Jay Henningsen,"Green Acres Mall, Valley Stream, New York, 11580, United States",11580,
9935 Robert C Daniel Jr Parkway,,Augusta,29833,496,AW00029833,Retread Tire Company,Georgia,United States,1,Pam Herrick,"9935 Robert C Daniel Jr Parkway, Augusta, Georgia, 30901, United States",30901,
Corp Ofc Accts Payable,,El Segundo,29834,46,AW00029834,Small Bike Shop,California,United States,1,Cheryl Herring,"Corp Ofc Accts Payable, El Segundo, California, 90245, United States",90245,
250775 SW Hillsdale Hwy,,Beaverton,29835,504,AW00029835,Superior Hardware Distributors,Oregon,United States,1,Ronald Heymsfield,"250775 SW Hillsdale Hwy, Beaverton, Oregon, 97005, United States",97005,
Dansk Square,,Kittery,29836,119,AW00029836,Fitness Sport Boutique,Maine,United States,1,Sidney Higa,"Dansk Square, Kittery, Maine, 03904, United States",03904,
Logansport Mall,,Logansport,29838,530,AW00029838,Recreation Systems,Indiana,United States,1,Fran Highfill,"Logansport Mall, Logansport, Indiana, 46947, United States",46947,
7700 Green Road,,Raleigh,29841,228,AW00029841,Exchange Parts Inc.,North Carolina,United States,1,Reinout Hillmann,"7700 Green Road, Raleigh, North Carolina, 27603, United States",27603,
25250 N 90th St,,Scottsdale,29842,199,AW00029842,First Cycle Store,Arizona,United States,1,Mike Hines,"25250 N 90th St, Scottsdale, Arizona, 85257, United States",85257,
No. 60 Bellis Fair Parkway,,Bellingham,29843,136,AW00029843,Running and Cycling Gear,Washington,United States,1,Matthew Hink,"No. 60 Bellis Fair Parkway, Bellingham, Washington, 98225, United States",98225,
Stateline Plaza,,Plaistow,29844,55,AW00029844,Seventh Bike Store,New Hampshire,United States,1,Nancy Hirota,"Stateline Plaza, Plaistow, New Hampshire, 03865, United States",03865,
32525 Hollywood Blvd.,,Hollywood,29846,243,AW00029846,General Associates,Florida,United States,1,Douglas Hite,"32525 Hollywood Blvd., Hollywood, Florida, 33021, United States",33021,
99700 Bell Road,,Auburn,29847,552,AW00029847,Good Toys,California,United States,1,David Hodgson,"99700 Bell Road, Auburn, California, 95603, United States",95603,
Cedar Creek Stores,,Mosinee,29848,529,AW00029848,Little Bicycle Supply Shop,Wisconsin,United States,1,Helge Hoeing,"Cedar Creek Stores, Mosinee, Wisconsin, 54455, United States",54455,
"Dadeland Mall, Space 25090",,Miami,29849,503,AW00029849,Retail Toy Store,Florida,United States,1,Barbara Hoffman,"Dadeland Mall, Space 25090, Miami, Florida, 33127, United States",33127,
Ohms Road,,Houston,29850,477,AW00029850,All Seasons Sports Supply,Texas,United States,1,Bob Hodges,"Ohms Road, Houston, Texas, 77003, United States",77003,
Lake Elisnor Place,,Lake Elsinore,29853,86,AW00029853,Affordable Sports Equipment,California,United States,1,Juanita Holman,"Lake Elisnor Place, Lake Elsinore, California, 92530, United States",92530,
1200 First Ave.,,Joliet,29854,487,AW00029854,Local Sales and Rental,Illinois,United States,1,Peter Houston,"1200 First Ave., Joliet, Illinois, 60433, United States",60433,
3390 South 23rd St.,,Tacoma,29858,548,AW00029858,Synthetic Materials Manufacturing,Washington,United States,1,George Huckaby,"3390 South 23rd St., Tacoma, Washington, 98403, United States",98403,
Management Mall,,San Antonio,29859,508,AW00029859,Rural Sales and Service,Texas,United States,1,Joshua Huff,"Management Mall, San Antonio, Texas, 78204, United States",78204,
City Center,,Minneapolis,29861,54,AW00029861,Hardware Components,Minnesota,United States,1,Phyllis Huntsman,"City Center, Minneapolis, Minnesota, 55402, United States",55402,
6753 Howard Hughes Parkway,,Las Vegas,29862,624,AW00029862,Retail Sporting Goods,Nevada,United States,1,Lawrence Hurkett,"6753 Howard Hughes Parkway, Las Vegas, Nevada, 89106, United States",89106,
Simi @ The Plaza,,Simi Valley,29865,280,AW00029865,Highway Bike Shop,California,United States,1,Lucio Iallo,"Simi @ The Plaza, Simi Valley, California, 93065, United States",93065,
"99828 Routh Street, Suite 825",,Dallas,29866,331,AW00029866,Rental Bikes,Texas,United States,1,Richard Irwin,"99828 Routh Street, Suite 825, Dallas, Texas, 75201, United States",75201,
4927 S Meridian Ave Ste D,,Puyallup,29867,400,AW00029867,Roving Sports,Washington,United States,1,Erik Ismert,"4927 S Meridian Ave Ste D, Puyallup, Washington, 98371, United States",98371,
Topanga Plaza,,Canoga Park,29871,382,AW00029871,Vale Riding Supplies,California,United States,1,Eric Jacobsen,"Topanga Plaza, Canoga Park, California, 91303, United States",91303,
6030 Robinson Road,,Jefferson City,29872,456,AW00029872,A Great Bicycle Company,Missouri,United States,1,Jodan Jacobson,"6030 Robinson Road, Jefferson City, Missouri, 65101, United States",65101,
2345 West Spencer Road,,Lynnwood,29873,334,AW00029873,Certified Bicycle Supply,Washington,United States,1,Mary Alexander,"2345 West Spencer Road, Lynnwood, Washington, 98036, United States",98036,
955 E. County Line Rd.,,Englewood,29877,301,AW00029877,Paints and Solvents Company,Colorado,United States,1,Joyce Jarvis,"955 E. County Line Rd., Englewood, Colorado, 80110, United States",80110,
Carolina Factory Shops,,Gaffney,29880,148,AW00029880,Consolidated Sales,South Carolina,United States,1,Samuel Johnson,"Carolina Factory Shops, Gaffney, South Carolina, 29340, United States",29340,
25050 S. Columbia Ave,,Campbellsville,29882,562,AW00029882,Optimal Bikes,Kentucky,United States,1,Greg Johnson,"25050 S. Columbia Ave, Campbellsville, Kentucky, 42718, United States",42718,
2530 South Colorado Blvd.,,Denver,29883,261,AW00029883,Sample Bike Store,Colorado,United States,1,Barry Johnson,"2530 South Colorado Blvd., Denver, Colorado, 80203, United States",80203,
625 W Jackson Blvd. Unit 2502,,Chicago,29884,630,AW00029884,Extras Sporting Goods,Illinois,United States,1,Brian Johnson,"625 W Jackson Blvd. Unit 2502, Chicago, Illinois, 60610, United States",60610,
7990 Ocean Beach Hwy.,,Longview,29885,64,AW00029885,Sure & Reliable Sporting Goods,Washington,United States,1,David Johnson,"7990 Ocean Beach Hwy., Longview, Washington, 98632, United States",98632,
25850 Post Road,,Westport,29886,633,AW00029886,Eleventh Bike Store,Connecticut,United States,1,Willis Johnson,"25850 Post Road, Westport, Connecticut, 06880, United States",06880,
3990 Silas Creek Parkway,,Winston-Salem,29888,59,AW00029888,New and Used Bicycles,North Carolina,United States,1,Brannon Jones,"3990 Silas Creek Parkway, Winston-Salem, North Carolina, 27104, United States",27104,
440 West Huntington Dr.,,Monrovia,29889,100,AW00029889,Separate Parts Corporation,California,United States,1,Jean Jordan,"440 West Huntington Dr., Monrovia, California, 91016, United States",91016,
15 East Main,,Port Orchard,29890,419,AW00029890,Basic Bike Company,Washington,United States,1,Peggy Justice,"15 East Main, Port Orchard, Washington, 98366, United States",98366,
46460 West Oaks Drive,,Novi,29891,124,AW00029891,"Fabrikam Inc., West",Michigan,United States,1,Diane Krane,"46460 West Oaks Drive, Novi, Michigan, 48375, United States",48375,
630 N. Capitol Ave.,,San Jose,29893,599,AW00029893,Weekend Bike Tours,California,United States,1,Sandeep Kaliyath,"630 N. Capitol Ave., San Jose, California, 95112, United States",95112,
Peachtree Mall,,Columbus,29896,94,AW00029896,Noiseless Gear Company,Georgia,United States,1,Judith Krane,"Peachtree Mall, Columbus, Georgia, 31901, United States",31901,
Prime Outlets,,Phoenix,29897,338,AW00029897,Racing Toys,Arizona,United States,1,Kay Krane,"Prime Outlets, Phoenix, Arizona, 85004, United States",85004,
765 Delridge Way Sw,,Seattle,29898,179,AW00029898,Capable Sales and Service,Washington,United States,1,Sandeep Katyal,"765 Delridge Way Sw, Seattle, Washington, 98104, United States",98104,
Pacific West Outlet,,Gilroy,29901,45,AW00029901,Sturdy Toys,California,United States,1,John Kelly,"Pacific West Outlet, Gilroy, California, 95020, United States",95020,
6425 Nw Loop 410,,San Antonio,29902,577,AW00029902,Beneficial Exercises and Activities,Texas,United States,1,Robert Kelly,"6425 Nw Loop 410, San Antonio, Texas, 78204, United States",78204,
2550 Ne Sandy Blvd,,Portland,29903,412,AW00029903,Fad Outlet,Oregon,United States,1,Kevin Kennedy,"2550 Ne Sandy Blvd, Portland, Oregon, 97205, United States",97205,
25095 W. Florissant,,Ferguson,29906,259,AW00029906,District Mall,Missouri,United States,1,Imtiaz Khan,"25095 W. Florissant, Ferguson, Missouri, 63135, United States",63135,
755 W Washington Ave Ste D,,Sequim,29907,225,AW00029907,Fitness Supplies,Washington,United States,1,Karan Khanna,"755 W Washington Ave Ste D, Sequim, Washington, 98382, United States",98382,
Bay Area Outlet Mall,,Clearwater,29912,271,AW00029912,Daring Rides,Florida,United States,1,Russell King,"Bay Area Outlet Mall, Clearwater, Florida, 33755, United States",33755,
2575 Rocky Mountain Ave.,,Loveland,29913,15,AW00029913,Field Trip Store,Colorado,United States,1,Anton Kirilov,"2575 Rocky Mountain Ave., Loveland, Colorado, 80537, United States",80537,
25150 El Camino Real,,San Bruno,29914,494,AW00029914,Finish and Sealant Products,California,United States,1,Christian Kleinerman,"25150 El Camino Real, San Bruno, California, 94066, United States",94066,
2526a Tri-Lake Blvd Ne,,Kirkland,29915,162,AW00029915,Finer Parts Shop,Washington,United States,1,Andrew Kobylinski,"2526a Tri-Lake Blvd Ne, Kirkland, Washington, 98033, United States",98033,
Adirondack Factory Outlet,,Lake George,29916,127,AW00029916,Glossy Bikes,New York,United States,1,Reed Koch,"Adirondack Factory Outlet, Lake George, New York, 12845, United States",12845,
6756 Mowry,,Newark,29919,38,AW00029919,Mountain Bike Center,California,United States,1,Eugene Kogan,"6756 Mowry, Newark, California, 94560, United States",94560,
52500 Liberty Way,,Fort Worth,29920,531,AW00029920,Specialty Sports Store,Texas,United States,1,Scott Konersmann,"52500 Liberty Way, Fort Worth, Texas, 76102, United States",76102,
258101 Nw Evergreen Parkway,,Beaverton,29921,149,AW00029921,Scooters and Bikes Store,Oregon,United States,1,Joy Koski,"258101 Nw Evergreen Parkway, Beaverton, Oregon, 97005, United States",97005,
"C/O Starpak, Inc.",,Greeley,29924,25,AW00029924,Reasonable Bicycle Sales,Colorado,United States,1,Mitch Kennedy,"C/O Starpak, Inc., Greeley, Colorado, 80631, United States",80631,
Great Northwestern,,North Bend,29925,166,AW00029925,Outdoor Sports Supply,Washington,United States,1,Margaret Krupka,"Great Northwestern, North Bend, Washington, 98045, United States",98045,
Receiving,,Fullerton,29929,75,AW00029929,Many Bikes Store,California,United States,1,Jeffrey Kurtz,"Receiving, Fullerton, California, 92831, United States",92831,
63 W Monroe,,Chicago,29930,569,AW00029930,Largest Bike Store,Illinois,United States,1,Peter Kurniawan,"63 W Monroe, Chicago, Illinois, 60610, United States",60610,
25300 Biddle Road,,Medford,29931,222,AW00029931,Kickstands and Accessories Company,Oregon,United States,1,Eric Lang,"25300 Biddle Road, Medford, Oregon, 97504, United States",97504,
2575 West 2700 South,,Salt Lake City,29935,114,AW00029935,Frugal Bike Shop,Utah,United States,1,Elsa Leavitt,"2575 West 2700 South, Salt Lake City, Utah, 84101, United States",84101,
25718 Se Sunnyside Rd,,Clackamas,29936,512,AW00029936,Family Entertainment Center,Oregon,United States,1,Michael Lee,"25718 Se Sunnyside Rd, Clackamas, Oregon, 97015-6403, United States",97015-6403,
2509 W. Frankford,,Carrollton,29937,201,AW00029937,Go-cart and Bike Specialists,Texas,United States,1,Marjorie Lee,"2509 W. Frankford, Carrollton, Texas, 75006, United States",75006,
251340 E. South St.,,Cerritos,29938,68,AW00029938,Trailblazing Sports,California,United States,1,Frank Campbell,"251340 E. South St., Cerritos, California, 90703, United States",90703,
490 Ne 4th St,,Renton,29942,181,AW00029942,Authorized Bike Sales and Rental,Washington,United States,1,Roger Lengel,"490 Ne 4th St, Renton, Washington, 98055, United States",98055,
5700 Legacy Dr,,Plano,29943,546,AW00029943,Two-Seater Bikes,Texas,United States,1,A. Leonetti,"5700 Legacy Dr, Plano, Texas, 75074, United States",75074,
25600 E St Andrews Pl,,Santa Ana,29944,473,AW00029944,More Bikes!,California,United States,1,Bonnie Lepro,"25600 E St Andrews Pl, Santa Ana, California, 92701, United States",92701,
9876 Fruitville Rd,,Sarasota,29945,164,AW00029945,Unified Sports Company,Florida,United States,1,Gloria Lesko,"9876 Fruitville Rd, Sarasota, Florida, 34236, United States",34236,
63 Badgers Island West,,Kittery,29947,133,AW00029947,Wheelsets Storehouse,Maine,United States,1,Judy Lew,"63 Badgers Island West, Kittery, Maine, 03904, United States",03904,
P.O. Box 6256916,,Dallas,29948,449,AW00029948,Town Industries,Texas,United States,1,Elsie Lewin,"P.O. Box 6256916, Dallas, Texas, 75201, United States",75201,
910 Main Street.,,Sparks,29949,510,AW00029949,Security Racks and Locks Wholesalers,Nevada,United States,1,George Li,"910 Main Street., Sparks, Nevada, 89431, United States",89431,
257700 Ne 76th Street,,Redmond,29953,208,AW00029953,Front Sporting Goods,Washington,United States,1,Joseph Lique,"257700 Ne 76th Street, Redmond, Washington, 98052, United States",98052,
Po Box 8259024,,Dallas,29954,158,AW00029954,Elite Bikes,Texas,United States,1,Paulo Lisboa,"Po Box 8259024, Dallas, Texas, 75201, United States",75201,
855 East Main Avenue,,Zeeland,29955,67,AW00029955,Catalog Store,Michigan,United States,1,David Liu,"855 East Main Avenue, Zeeland, Michigan, 49464, United States",49464,
90025 Sterling St,,Irving,29956,93,AW00029956,Chic Department Stores,Texas,United States,1,Jinghao Liu,"90025 Sterling St, Irving, Texas, 75061, United States",75061,
9992 Whipple Rd,,Union City,29957,17,AW00029957,Eastside Department Store,California,United States,1,Kevin Liu,"9992 Whipple Rd, Union City, California, 94587, United States",94587,
100 Fifth Drive,,Millington,29958,172,AW00029958,Sports Sales and Rental,Tennessee,United States,1,Run Liu,"100 Fifth Drive, Millington, Tennessee, 38054, United States",38054,
6900 William Richardson Ct.,,South Bend,29961,278,AW00029961,Exotic Bikes,Indiana,United States,1,John Long,"6900 William Richardson Ct., South Bend, Indiana, 46601, United States",46601,
74400 France Avenue South,,Edina,29962,442,AW00029962,Fitness Hotel,Minnesota,United States,1,Sharon Looney,"74400 France Avenue South, Edina, Minnesota, 55436, United States",55436,
2550 High Street,,La Vergne,29963,131,AW00029963,Every Bike Shop,Tennessee,United States,1,Spencer Low,"2550 High Street, La Vergne, Tennessee, 37086, United States",37086,
25149 Howard Dr,,West Chicago,29967,189,AW00029967,Leading Sales & Repair,Illinois,United States,1,Judy Lundahl,"25149 Howard Dr, West Chicago, Illinois, 60185, United States",60185,
Po Box 2257,,Greensboro,29968,177,AW00029968,Metro Bike Mart,North Carolina,United States,1,Helen Lutes,"Po Box 2257, Greensboro, North Carolina, 27412, United States",27412,
Port Huron,,Port Huron,29973,351,AW00029973,Friendly Bike Shop,Michigan,United States,1,Denise Maccietto,"Port Huron, Port Huron, Michigan, 48060, United States",48060,
St. Louis Marketplace,,Saint Louis,29974,274,AW00029974,Yellow Bicycle Company,Missouri,United States,1,Scott MacDonald,"St. Louis Marketplace, Saint Louis, Missouri, 63103, United States",63103,
Po Box 252525,,Santa Ana,29975,319,AW00029975,Sports Products Store,California,United States,1,Walter Mays,"Po Box 252525, Santa Ana, California, 92701, United States",92701,
99535 Dallas Highway,,Marietta,29976,401,AW00029976,Selected Distributors,Georgia,United States,1,Patrick Magenheimer,"99535 Dallas Highway, Marietta, Georgia, 30060, United States",30060,
9905 Three Rivers Drive,,Kelso,29981,264,AW00029981,Official Parts Shop,Washington,United States,1,Kathy Marcovecchio,"9905 Three Rivers Drive, Kelso, Washington, 98626, United States",98626,
603 Gellert Blvd,,Daly City,29982,348,AW00029982,Discount Tours,California,United States,1,Melissa Marple,"603 Gellert Blvd, Daly City, California, 94015, United States",94015,
870 N. 54th Ave.,,Chandler,29987,72,AW00029987,Rally Master Company Inc,Arizona,United States,1,Frank Mart¡nez,"870 N. 54th Ave., Chandler, Arizona, 85225, United States",85225,
3025 E Waterway Blvd,,Shelton,29991,500,AW00029991,City Manufacturing,Washington,United States,1,Chris Maxwell,"3025 E Waterway Blvd, Shelton, Washington, 98584, United States",98584,
